url,lead,source
https://www.nytimes.com/2008/08/31/business/worldbusiness/31iht-30gascars.15760199.html,"SALT LAKE CITY, Utah — The best deal on fuel in the country right now might be here in Utah, where people are waiting in lines to pay the equivalent of 87 cents a gallon. Demand is so strong at rush hour that fuel runs low, and some days people can pump only half a tank.",nyt
https://green.blogs.nytimes.com/2010/01/13/podesta-and-pickens-stump-for-natural-gas/,"T. Boone Pickens, the billionaire Texas financier, and John Podesta, President Bill Clinton’s White House chief of staff, are not exactly political soul mates.",nyt
https://www.nytimes.com/2011/03/11/us/11ttgas.html,"KENEDY  At a packed meeting here one evening last week, natural gas industry boosters told long tables of ranchers and townspeople about anticipated jobs and economic opportunities. Outside, along lonely country roads near town, lights from drilling equipment glittered in the dark night.",nyt
https://www.nytimes.com/1982/03/17/business/natural-gas-reserves.html,"World natural gas reserves are sufficient to meet demand for the next 170 years, the president of the 41-nation International Gas Union said today. E. Giorgis told a trade convention that demand for natural gas had grown rapidly over the past two decades, totaling 52.5 trillion cubic feet in 1980. Mr. Giorgis said recent studies indicated total recoverable world gas reserves amounted to 9,835 trillion cubic feet, a third of which had already been proven. Over the next 40 years no more than a third of these reserves would be used, he said. Natural gas accounts for 20 percent of international primary energy demand.",nyt
https://www.nytimes.com/2000/07/07/business/world-business-briefing-americas-canadian-natural-gas-deal.html,"Britain's dominant natural gas supplier, Centrica P.L.C., agreed to buy Direct Energy Marketing of Canada and Natural Gas Wholesalers for $612 million in cash and debt to expand into North America. Centrica will buy Direct Energy, a retailer of gas to 820,000 customers in Ontario, and Natural Gas Wholesalers, a customer services unit. Centrica supplies gas and electricity to homes and businesses in Britain.",nyt
https://dealbook.nytimes.com/2008/08/25/drilling-deeper-into-a-natural-gas-deal/,"Precision Drilling Trust‘s $2 billion acquisition of Houston-based driller Grey Wolf is a big bet on the resilience of the U.S. natural gas market, which is experiencing a boom in production not seen since the 1950s. ",nyt
https://www.nytimes.com/2009/09/07/business/07gas.html,"HOUSTON  The natural gas industry has enjoyed something of a winning streak in recent years. It found gigantic new reserves, low prices are encouraging utilities to substitute gas for coal, and cities are switching to buses fueled by natural gas. ",nyt
https://www.nytimes.com/2007/11/10/business/10charts.html,"As oil prices surged over the last few months, natural gas prices in the United States did something that could help to cushion the economic shock. They fell.",nyt
https://www.nytimes.com/1982/01/10/us/decontrolling-natural-gas.html,"UTILITY executives, politicians and analysts are convinced that natural gas pricing is likely to be the hottest energy issue of the year. The stakes are billions of dollars in revenues for industry and hundreds of dollars in fuel bills for homeowners.",nyt
https://lifehacker.com/how-to-see-jupiter-mars-and-saturn-rise-every-day-this-1844021311,"Everything in the world might be pretty terrible right now, but if nothing else, we’ll be treated to seeing Jupiter, Mars and Saturn rise every day in June 2020. Even though Jupiter and Saturn are the largest in the solar system, they’re not the brightest. Bu…",news_api
http://techcrunch.com/2020/06/25/all-the-tech-in-fords-most-important-vehicle-the-2021-f-150-truck/,"Ford rolled out all the stops Thursday evening for the reveal of its all-new F-150 truck, right down to the splashy videos dominated by electric guitar riffs. Heck, the automaker even cast the sharp-tongued Denis Leary as its MC. Of course, none of that reall…",news_api
https://earther.gizmodo.com/these-5-oil-and-gas-pipelines-are-the-next-to-face-trou-1844308553,"The end of fossil fuels is nigh. This week alone, we’ve seen three major pipelines get smacked TF up. First, a judge ordered the Dakota Access Pipeline to be shut down and emptied of all crude oil in 30 days. Then, the Atlantic Coast Pipeline was canceled due…",news_api
https://earther.gizmodo.com/the-mystery-of-antarcticas-record-drop-in-sea-ice-has-b-1844071053,"Ice in the polar regions has been under assault from rising ocean and water temperatures. While human-driven climate change is driving widespread weirdness, natural patterns can also lead to chaos.Read more...",news_api
https://earther.gizmodo.com/apparently-it-s-sue-big-oil-week-1844166822,"It’s lawsuit week for Big Oil. A day after Minnesota filed a groundbreaking suit, Washington, DC District Attorney General Karl Racine sued ExxonMobil, Chevron, BP, and Shell, alleging that the companies “systematically and intentionally misled consumers ... …",news_api
https://earther.gizmodo.com/exxon-koch-industries-and-the-american-petroleum-inst-1844153441,"Minnesota Attorney General Keith Ellison announced on Wednesday that he’s suing ExxonMobil, Koch Industries, and the American Petroleum Institute because the three firms deceived customers about the climate crisis. This is the first lawsuit of its kind to nam…",news_api
https://earther.gizmodo.com/the-south-pole-is-warming-three-times-faster-than-the-r-1844202899,"Warm air doesn’t reach Antarctica as easily as the rest of the globe, but a new study has found that not even the South Pole is safe from the influences of human-driven climate change. Read more...",news_api
https://earther.gizmodo.com/indigenous-protests-are-blazing-a-new-trail-for-how-to-1844328315,Joye Braun was among the first to camp in the plains of North Dakota in defiance of the Dakota Access pipeline back in 2016. She was there to stand in solidarity with the Standing Rock Sioux Tribe. Indigenous people from around the world eventually arrived to…,news_api
https://earther.gizmodo.com/the-danger-of-amazon-s-2-billion-climate-fund-1844134160,"On Tuesday, Amazon rolled out a shiny new addition to its flawed climate plan: a $2 billion venture investment fund for low- and no-carbon technology. It is instantly  one of, if not the, biggest climate venture funds out there. But it also shows a fatal flaw…",news_api
https://gizmodo.com/republicans-blow-off-intelligence-hearing-on-election-s-1844085345,"Republicans on the House Intelligence Committee were a no-show as top officials from Facebook, Google, and Twitter testified and answered questions about their companies’ efforts to safeguard voters from the spread of disinformation concerning the 2020 presid…",news_api
